id,AccelSec,TopSpeed_KmH
1,4.6,233
2,10,160
3,4.7,210
4,6.8,180
5,9.5,145
6,2.8,250
7,9.6,150
8,8.1,150
9,5.6,225
10,6.3,180
11,5.1,180
12,7.9,144
13,7.9,167
14,4,200
15,9.7,165
16,7.9,160
17,2.8,260
18,11.9,130
19,8.2,140
20,7.3,150
21,8.1,150
22,5.1,217
23,10,160
24,3.5,240
25,3.4,261
26,7.5,160
27,9,160
28,4.9,180
29,7.3,150
30,8.5,150
31,6.8,190
32,7.8,167
33,11.4,135
34,3,210
35,9,150
36,7.3,157
37,7.5,160
38,6.5,160
39,9.5,140
40,5,200
41,3.8,250
42,9.9,155
43,5.7,200
44,12.3,130
45,12.3,130
46,7.9,167
47,7.3,150
48,4,250
49,10,150
50,9,150
51,5.7,200
52,2.1,410
53,8.5,150
54,8.8,160
55,4.6,250
56,8.3,145
57,8.7,150
58,12.6,135
59,9.7,150
60,2.5,261
61,11.4,135
62,3.7,241
63,7.6,160
64,4.8,200
65,7,180
66,4,250
67,14,123
68,5,190
69,22.4,130
70,6,180
71,6.9,160
72,7,160
73,3.5,250
74,5.5,190
75,9,140
76,9.8,155
77,6.3,180
78,12.7,130
79,6,180
80,3.2,260
81,7.3,160
82,2.8,250
83,11.6,130
84,6.6,180
85,10,140
86,9,150
87,7,180
88,6.8,190
89,6.2,180
90,9,160
91,4.5,210
92,11.9,130
93,7.9,167
94,5.7,200
95,9,150
96,7.3,160
97,9.9,157
98,7.5,190
99,7.5,160
100,4.5,210
101,5.9,200
102,5.1,200
103,7.5,190
