id,Range_Km,Efficiency_WhKm,PowerTrain
5,450,161,AWD
10,270,167,RWD
15,400,181,AWD
20,360,206,RWD
25,170,168,RWD
30,610,180,AWD
35,190,168,FWD
40,275,164,FWD
45,310,153,RWD
50,400,193,AWD
55,370,216,AWD
60,220,164,FWD
65,400,160,FWD
70,450,178,RWD
75,250,153,FWD
80,440,175,RWD
85,375,223,AWD
90,195,166,FWD
95,220,193,FWD
100,185,156,FWD
105,275,164,FWD
110,425,171,AWD
115,290,179,RWD
120,425,197,AWD
125,435,167,AWD
130,420,183,RWD
135,350,166,RWD
140,375,200,AWD
145,235,161,RWD
150,250,180,FWD
155,280,231,AWD
160,370,173,FWD
165,315,165,FWD
170,750,267,AWD
175,180,178,FWD
180,325,172,FWD
185,270,193,FWD
190,425,181,RWD
195,310,168,FWD
200,350,171,AWD
205,515,184,AWD
210,255,154,FWD
215,380,228,AWD
220,195,166,FWD
225,195,166,FWD
230,365,175,FWD
235,335,173,FWD
240,365,195,AWD
245,575,104,AWD
250,335,188,FWD
255,365,237,AWD
260,970,206,AWD
265,255,176,FWD
270,420,183,RWD
275,450,211,AWD
280,170,168,RWD
285,250,180,FWD
290,130,164,RWD
295,250,180,FWD
300,505,188,AWD
305,255,161,FWD
310,410,177,AWD
315,440,198,FWD
320,365,232,AWD
325,450,200,RWD
330,425,197,AWD
335,190,200,FWD
340,460,261,AWD
345,160,194,FWD
350,430,209,AWD
355,230,165,RWD
360,400,193,AWD
365,385,217,AWD
370,390,244,AWD
375,225,156,FWD
380,235,167,FWD
385,410,188,AWD
390,95,176,RWD
395,340,206,AWD
400,390,215,AWD
405,340,171,RWD
410,440,216,AWD
415,100,167,RWD
420,360,194,RWD
425,330,273,FWD
430,250,168,FWD
435,390,256,RWD
440,295,219,AWD
445,400,193,AWD
450,320,181,RWD
455,320,270,AWD
460,95,176,RWD
465,365,175,FWD
470,420,207,AWD
475,250,168,FWD
480,340,171,RWD
485,230,170,FWD
490,325,222,RWD
495,330,191,FWD
500,335,258,AWD
505,325,194,AWD
510,375,232,AWD
515,400,238,AWD
